student_id,gender,age,attendance,study_hours,assignment_score,internal_marks,previous_marks,backlogs,extracurricular
CUR0057,Male,22,34,1.8,45,39,34,4,No
CUR0058,Female,19,51,2.1,56,50,57,1,Yes
CUR0059,Female,18,89,5.9,99,91,92,0,No
CUR0060,Female,21,62,1.3,54,42,46,3,No
CUR0061,Female,23,81,4.7,89,71,87,0,No
CUR0062,Female,18,52,1.7,49,54,47,1,No
CUR0063,Male,20,45,1.4,41,41,33,2,No
CUR0064,Male,23,31,1.5,46,37,45,5,Yes
CUR0065,Female,18,88,6.0,90,82,78,0,No
CUR0066,Male,21,32,1.1,38,38,32,5,Yes
CUR0067,Female,17,60,2.3,46,50,57,3,No
CUR0068,Male,19,63,2.1,72,72,50,0,No
CUR0069,Female,22,90,4.8,83,74,81,0,No
CUR0070,Female,21,74,2.3,73,62,68,1,Yes
CUR0071,Female,21,98,6.5,93,85,98,0,Yes
CUR0072,Female,18,44,1.6,40,41,33,3,No
CUR0073,Female,23,53,1.9,46,40,60,2,Yes
CUR0074,Female,18,61,2.6,61,73,66,2,Yes
CUR0075,Female,23,45,1.2,41,46,37,3,Yes
CUR0076,Male,21,64,1.0,48,43,47,3,Yes
CUR0077,Female,19,96,5.6,98,85,85,0,No
CUR0078,Male,22,76,5.8,72,90,70,0,Yes
CUR0079,Male,22,74,3.4,55,63,74,1,Yes
CUR0080,Male,17,58,1.2,46,45,48,2,Yes
CUR0081,Female,17,45,1.6,39,33,50,3,Yes
CUR0082,Male,18,53,1.6,45,34,42,4,No
CUR0083,Male,18,62,5.0,64,59,55,1,Yes
CUR0084,Female,17,53,1.2,59,41,41,1,No
CUR0085,Male,17,56,1.1,40,44,57,2,No
CUR0086,Female,18,76,4.1,80,77,77,1,Yes
CUR0087,Male,20,50,1.0,54,55,59,2,Yes
CUR0088,Female,17,79,4.7,88,70,65,1,Yes
CUR0089,Female,21,76,5.3,75,75,67,0,Yes
CUR0090,Female,19,100,7.7,97,100,84,0,Yes
CUR0091,Male,20,73,4.4,70,58,68,0,Yes
CUR0092,Male,19,69,2.7,56,59,57,1,No
CUR0093,Female,23,77,5.3,70,74,75,0,Yes
CUR0094,Female,21,89,7.9,85,93,89,0,No
CUR0095,Female,20,91,7.0,98,96,90,0,Yes
CUR0096,Female,17,99,6.8,94,85,84,0,No
CUR0097,Female,21,51,1.3,43,58,43,2,Yes
CUR0098,Female,18,59,2.5,57,53,48,2,No
CUR0099,Female,17,89,4.8,71,70,81,1,No
CUR0100,Female,21,53,0.8,47,32,48,2,Yes
CUR0101,Male,23,34,0.6,39,31,31,5,Yes
CUR0102,Male,21,85,6.0,78,87,73,1,No
CUR0103,Male,22,78,4.4,86,83,75,1,No
CUR0104,Female,17,90,5.2,90,91,95,0,Yes
CUR0105,Female,20,81,4.0,70,70,82,1,Yes
CUR0106,Male,20,78,5.2,70,86,81,0,Yes
CUR0107,Female,18,85,6.7,87,97,98,0,Yes
CUR0108,Male,23,64,2.5,59,41,52,1,No
CUR0109,Female,22,43,1.2,38,42,37,2,Yes
CUR0110,Male,19,82,4.9,73,77,79,0,Yes
CUR0111,Male,22,96,7.1,95,89,98,0,Yes
CUR0112,Female,17,60,2.2,61,65,74,0,No
CUR0113,Female,23,60,1.8,58,59,59,2,No
CUR0114,Male,23,63,1.9,41,43,41,3,Yes
CUR0115,Female,17,77,5.4,74,74,85,0,No
CUR0116,Female,18,87,4.3,86,81,81,0,No
CUR0117,Male,19,57,2.6,51,60,46,2,No
CUR0118,Female,17,50,1.0,42,45,59,1,Yes
CUR0119,Male,19,33,1.5,32,50,35,4,No
CUR0120,Female,20,53,2.8,41,54,59,1,Yes
CUR0121,Male,17,50,1.1,44,57,47,3,Yes
CUR0122,Male,22,90,5.6,89,98,82,0,Yes
CUR0123,Male,23,77,4.1,55,70,73,1,No
CUR0124,Female,18,69,3.1,56,64,70,0,Yes
CUR0125,Male,19,72,4.5,55,58,69,0,No
CUR0126,Female,17,56,2.9,49,55,44,2,Yes
CUR0127,Male,20,63,2.1,45,50,43,3,Yes
CUR0128,Male,19,50,2.0,53,52,51,3,No
CUR0129,Female,23,99,7.7,98,99,96,0,No
CUR0130,Female,21,90,6.7,91,96,80,0,No
CUR0131,Female,17,45,2.0,34,34,37,4,No
CUR0132,Female,23,73,4.6,67,72,54,0,Yes
CUR0133,Female,22,58,2.2,51,45,51,2,Yes
CUR0134,Male,21,69,3.9,57,58,53,2,No
CUR0135,Female,21,89,4.5,83,77,74,0,No
CUR0136,Male,20,55,0.8,32,46,46,4,No
CUR0137,Male,18,58,2.7,40,51,43,1,Yes
CUR0138,Male,17,69,2.6,63,57,75,2,Yes
CUR0139,Male,22,51,1.6,56,53,40,1,No
CUR0140,Female,21,42,0.6,31,36,35,2,Yes
CUR0141,Male,19,49,1.4,31,32,32,4,Yes
CUR0142,Male,22,53,1.5,55,43,58,2,No
CUR0143,Female,23,54,2.5,51,59,41,3,No
CUR0144,Female,18,60,2.7,40,60,43,1,Yes
CUR0145,Male,20,76,2.5,58,55,65,0,No
CUR0146,Female,17,89,5.2,71,77,79,0,No
CUR0147,Female,19,52,1.3,49,45,34,3,Yes
CUR0148,Female,20,65,2.5,57,46,55,2,Yes
CUR0149,Female,23,33,1.8,30,35,39,2,No
CUR0150,Female,18,31,0.5,50,38,39,3,Yes
CUR0151,Female,20,78,4.8,71,82,84,1,No
CUR0152,Female,22,50,1.8,54,51,42,2,Yes
CUR0153,Male,20,77,4.6,73,83,74,0,No
CUR0154,Male,21,91,5.6,86,93,85,0,Yes
CUR0155,Female,17,84,5.1,79,86,67,0,Yes
CUR0156,Male,20,52,2.6,50,47,41,1,Yes
CUR0157,Female,18,61,2.5,57,52,49,2,Yes
CUR0158,Female,19,77,2.3,55,65,50,0,No
CUR0159,Female,19,90,5.0,88,83,68,1,No
CUR0160,Male,21,89,6.6,87,99,95,0,Yes
CUR0161,Male,23,78,3.5,58,65,61,1,Yes
CUR0162,Female,23,44,0.7,42,30,34,4,No
CUR0163,Male,17,73,4.3,69,59,51,1,Yes
CUR0164,Female,21,56,1.1,56,54,43,2,No
CUR0165,Male,21,90,5.3,71,76,68,1,No
CUR0166,Male,20,90,7.7,94,87,89,0,No
CUR0167,Male,21,90,6.7,95,93,92,0,Yes
CUR0168,Female,22,39,2.0,44,43,43,4,Yes
CUR0169,Female,22,56,1.3,42,46,50,1,No
CUR0170,Male,23,86,5.2,76,86,78,1,Yes
CUR0171,Male,22,76,4.8,71,67,68,2,Yes
CUR0172,Male,21,71,4.3,63,55,61,0,Yes
CUR0173,Female,18,52,2.9,50,59,54,2,No
CUR0174,Female,19,73,3.4,70,71,69,1,No
CUR0175,Female,18,88,5.7,88,70,72,1,Yes
CUR0176,Male,20,54,1.9,46,45,41,3,Yes
CUR0177,Male,20,88,7.3,99,96,100,0,No
CUR0178,Female,23,98,5.5,94,90,99,0,Yes
CUR0179,Male,18,42,1.4,37,31,41,3,Yes
CUR0180,Male,22,55,0.8,30,35,43,2,Yes
CUR0181,Female,20,58,2.0,42,41,53,3,Yes
CUR0182,Male,17,91,7.4,87,97,86,0,Yes
CUR0183,Female,21,78,2.6,60,68,64,0,No
CUR0184,Male,21,78,5.7,84,75,83,1,No
CUR0185,Female,21,92,7.9,86,97,90,0,Yes
CUR0186,Male,23,47,1.0,49,37,49,3,Yes
CUR0187,Female,22,55,2.1,42,45,58,1,No
CUR0188,Female,22,94,7.9,98,86,84,0,No
CUR0189,Female,19,65,3.4,60,72,70,1,No
CUR0190,Male,20,53,1.4,41,30,44,2,No
CUR0191,Male,21,61,2.5,40,45,41,3,Yes
CUR0192,Male,19,76,4.3,72,81,89,1,Yes
CUR0193,Male,18,77,3.7,56,73,57,0,Yes
CUR0194,Female,22,80,4.0,75,77,76,0,Yes
CUR0195,Female,19,71,4.6,56,58,69,2,Yes
CUR0196,Male,19,92,7.6,94,91,99,0,Yes
CUR0197,Male,17,87,5.8,88,83,69,0,Yes
CUR0198,Female,19,83,5.5,72,75,83,0,No
CUR0199,Male,17,49,1.4,31,33,34,3,No
CUR0200,Male,21,64,1.6,51,48,45,1,Yes
