student_id,gender,age,attendance,study_hours,assignment_score,internal_marks,previous_marks,backlogs,extracurricular,final_result
HIS0103,Female,23,59,2.5,50,43,54,1,Yes,Poor
HIS0104,Female,21,41,0.6,42,30,38,2,No,At Risk
HIS0105,Male,22,61,1.2,47,55,40,3,No,At Risk
HIS0106,Female,20,99,7.7,94,98,83,0,Yes,Excellent
HIS0107,Male,20,88,5.7,89,97,94,0,No,Excellent
HIS0108,Male,23,100,6.8,93,86,91,0,No,Excellent
HIS0109,Female,18,63,4.9,66,72,70,1,Yes,Good
HIS0110,Male,17,99,5.3,91,85,81,0,Yes,Excellent
HIS0111,Male,21,36,1.4,37,40,34,2,No,At Risk
HIS0112,Female,17,65,2.3,55,59,50,1,Yes,Average
HIS0113,Female,21,83,4.1,83,86,68,0,No,Excellent
HIS0114,Male,17,33,1.2,37,49,31,4,No,At Risk
HIS0115,Male,17,62,1.9,43,55,54,1,Yes,Poor
HIS0116,Female,20,83,5.2,88,87,87,1,No,Excellent
HIS0117,Male,20,49,1.1,33,50,50,3,No,At Risk
HIS0118,Male,22,74,3.2,58,65,63,1,No,Average
HIS0119,Male,21,52,1.2,42,42,53,1,No,At Risk
HIS0120,Female,19,47,1.0,33,43,41,5,Yes,At Risk
HIS0121,Female,21,91,5.5,100,92,83,0,No,Excellent
HIS0122,Male,19,88,5.7,89,89,86,0,No,Excellent
HIS0123,Male,22,70,3.1,60,59,68,2,No,Poor
HIS0124,Female,19,87,7.2,91,97,93,0,No,Excellent
HIS0125,Male,19,78,3.8,56,59,55,2,Yes,Average
HIS0126,Female,17,63,2.0,54,53,48,1,Yes,Poor
HIS0127,Male,19,78,3.5,64,56,57,1,Yes,Average
HIS0128,Male,18,79,5.5,79,80,68,0,No,Excellent
HIS0129,Male,20,57,2.0,51,42,52,3,Yes,At Risk
HIS0130,Female,18,95,6.7,97,98,89,0,No,Excellent
HIS0131,Female,21,44,1.7,41,32,43,2,Yes,At Risk
HIS0132,Male,21,97,7.6,95,92,90,0,Yes,Excellent
HIS0133,Male,19,36,1.9,41,41,50,3,Yes,At Risk
HIS0134,Female,22,80,5.2,90,72,70,1,No,Excellent
HIS0135,Male,20,50,1.5,49,40,50,4,Yes,At Risk
HIS0136,Female,20,59,2.6,58,41,51,3,Yes,At Risk
HIS0137,Male,20,86,6.1,94,87,100,0,No,Excellent
HIS0138,Male,23,50,0.8,49,45,46,3,Yes,At Risk
HIS0139,Male,19,62,3.5,60,56,57,2,No,Average
HIS0140,Female,17,69,3.2,65,74,51,2,No,Poor
HIS0141,Male,19,51,1.1,38,49,34,4,Yes,At Risk
HIS0142,Female,22,80,4.1,67,59,69,2,Yes,Average
HIS0143,Female,17,64,4.0,71,57,70,2,No,Average
HIS0144,Male,18,69,2.5,61,65,74,1,Yes,Average
HIS0145,Male,18,94,7.5,88,86,90,0,No,Excellent
HIS0146,Female,23,55,1.9,44,31,43,4,Yes,At Risk
HIS0147,Female,23,57,2.1,49,55,46,2,No,Poor
HIS0148,Female,23,63,2.9,46,59,44,2,Yes,Poor
HIS0149,Female,21,77,4.8,71,58,59,0,Yes,Good
HIS0150,Female,21,88,4.2,77,84,76,0,No,Good
HIS0151,Female,23,67,3.2,57,66,57,0,No,Average
HIS0152,Male,17,79,4.1,85,74,89,1,No,Good
HIS0153,Male,17,93,5.6,89,98,83,0,Yes,Excellent
HIS0154,Male,22,88,5.3,89,84,67,0,No,Excellent
HIS0155,Female,18,48,0.9,34,39,43,2,No,At Risk
HIS0156,Female,22,96,5.2,85,97,95,0,No,Excellent
HIS0157,Male,19,96,7.4,96,92,100,0,No,Excellent
HIS0158,Female,17,40,1.7,35,44,45,3,Yes,At Risk
HIS0159,Female,19,66,2.1,61,56,60,1,No,Average
HIS0160,Female,22,91,5.9,86,95,88,0,No,Excellent
HIS0161,Female,17,62,1.7,45,55,55,2,No,At Risk
HIS0162,Female,21,55,2.1,50,43,42,2,No,At Risk
HIS0163,Female,19,55,2.4,51,54,41,3,No,Poor
HIS0164,Female,17,87,7.0,97,96,96,0,Yes,Excellent
HIS0165,Male,22,77,4.5,90,81,76,1,Yes,Excellent
HIS0166,Female,22,61,1.7,42,58,44,3,No,At Risk
HIS0167,Male,19,67,4.9,55,60,65,2,No,Average
HIS0168,Male,23,74,2.6,74,64,72,1,Yes,Average
HIS0169,Female,19,99,5.5,99,87,90,0,Yes,Excellent
HIS0170,Female,17,80,5.6,86,77,68,0,Yes,Excellent
HIS0171,Female,20,77,3.7,69,72,54,2,Yes,Average
HIS0172,Female,22,63,2.5,58,42,44,2,Yes,Poor
HIS0173,Male,23,41,0.7,47,50,48,3,Yes,At Risk
HIS0174,Female,18,89,5.9,90,95,87,0,No,Excellent
HIS0175,Male,18,38,0.7,39,49,47,2,Yes,At Risk
HIS0176,Female,22,53,1.9,40,48,31,2,Yes,At Risk
HIS0177,Male,23,88,5.2,70,85,85,1,No,Excellent
HIS0178,Male,19,59,1.9,41,45,54,2,No,Poor
HIS0179,Male,19,34,1.0,40,41,42,3,No,At Risk
HIS0180,Female,23,89,4.2,84,77,69,0,Yes,Good
HIS0181,Female,21,43,0.9,35,40,48,4,Yes,At Risk
HIS0182,Male,21,65,2.8,55,40,42,2,No,Poor
HIS0183,Male,23,61,2.2,70,74,70,2,No,Poor
HIS0184,Male,21,98,5.4,93,96,92,0,Yes,Excellent
HIS0185,Male,18,36,1.0,39,32,42,5,No,At Risk
HIS0186,Male,17,97,6.1,95,96,84,0,No,Excellent
HIS0187,Female,18,89,7.1,100,99,84,0,No,Excellent
HIS0188,Male,19,59,2.2,56,56,57,2,No,Poor
HIS0189,Female,19,63,4.9,73,64,75,2,Yes,Good
HIS0190,Male,17,48,0.8,31,48,45,3,No,At Risk
HIS0191,Male,20,52,0.7,30,44,40,5,Yes,At Risk
HIS0192,Female,21,54,1.4,45,31,34,3,No,At Risk
HIS0193,Female,21,60,2.9,54,57,50,3,No,Poor
HIS0194,Male,22,56,2.9,48,57,49,1,No,Poor
HIS0195,Female,23,60,2.0,57,48,49,1,No,Poor
HIS0196,Male,23,84,4.1,72,81,79,1,No,Good
HIS0197,Male,22,38,1.9,38,34,33,3,Yes,At Risk
HIS0198,Male,20,76,4.2,80,85,68,0,Yes,Excellent
HIS0199,Male,21,65,2.3,49,50,49,3,Yes,At Risk
HIS0200,Male,17,90,6.3,90,86,92,0,Yes,Excellent
HIS0201,Female,19,78,3.8,65,64,64,2,No,Average
HIS0202,Female,21,78,4.7,84,90,73,0,Yes,Excellent
HIS0203,Male,18,80,5.2,90,82,78,1,Yes,Excellent
HIS0204,Female,19,90,4.6,77,70,73,1,Yes,Good
HIS0205,Male,20,78,4.2,55,63,70,1,Yes,Average
HIS0206,Male,18,65,3.2,71,64,72,0,No,Good
HIS0207,Male,21,90,4.3,89,81,78,1,Yes,Good
HIS0208,Male,18,61,1.2,58,43,41,3,Yes,At Risk
HIS0209,Female,18,76,3.3,61,73,65,0,No,Average
HIS0210,Female,23,43,1.2,31,47,44,4,Yes,At Risk
HIS0211,Female,17,91,6.7,86,98,91,0,Yes,Excellent
HIS0212,Female,20,73,2.5,59,75,73,2,No,Average
HIS0213,Female,21,62,1.2,57,44,60,2,Yes,At Risk
HIS0214,Male,20,82,5.7,70,79,79,1,No,Good
HIS0215,Male,18,64,2.8,58,56,75,2,No,Average
HIS0216,Female,20,77,4.2,71,84,84,0,Yes,Good
HIS0217,Female,21,81,5.5,71,74,81,1,Yes,Excellent
HIS0218,Female,19,54,1.5,40,37,39,3,Yes,At Risk
HIS0219,Female,22,90,6.9,98,100,81,0,No,Excellent
HIS0220,Female,23,63,1.3,52,45,57,2,Yes,At Risk
HIS0221,Female,18,89,5.8,87,83,78,0,No,Excellent
HIS0222,Female,20,80,2.2,69,66,52,2,Yes,Poor
HIS0223,Female,19,49,0.6,32,36,48,3,No,At Risk
HIS0224,Female,23,91,7.8,88,100,87,0,No,Excellent
HIS0225,Female,20,72,3.4,75,66,59,1,No,Good
HIS0226,Male,22,100,7.3,95,91,91,0,No,Excellent
HIS0227,Male,19,75,4.5,88,88,88,1,No,Good
HIS0228,Female,20,87,5.1,77,85,82,1,No,Excellent
HIS0229,Male,23,86,4.3,87,85,70,0,Yes,Good
HIS0230,Female,19,98,5.4,92,87,84,0,Yes,Excellent
HIS0231,Female,21,100,7.0,85,85,97,0,Yes,Excellent
HIS0232,Male,21,60,3.5,68,60,53,0,Yes,Average
HIS0233,Male,22,38,1.7,38,42,32,4,No,At Risk
HIS0234,Female,20,84,5.4,72,90,85,0,Yes,Excellent
HIS0235,Female,21,45,0.6,30,35,32,5,No,At Risk
HIS0236,Male,18,86,5.7,100,93,81,0,No,Excellent
HIS0237,Female,18,60,4.9,73,59,74,2,No,Average
HIS0238,Female,17,37,1.4,42,47,40,5,Yes,At Risk
HIS0239,Female,23,98,5.7,87,95,99,0,No,Excellent
HIS0240,Female,23,65,1.5,57,52,53,1,No,Poor
HIS0241,Female,17,77,4.2,74,82,87,0,No,Good
HIS0242,Male,20,85,7.8,99,96,88,0,Yes,Excellent
HIS0243,Male,19,63,1.2,42,51,57,1,No,Poor
HIS0244,Female,18,62,2.6,57,47,58,3,Yes,Poor
HIS0245,Female,19,83,4.6,85,74,67,0,No,Good
HIS0246,Male,18,52,1.7,47,60,55,3,Yes,At Risk
HIS0247,Female,23,60,4.8,65,74,62,1,No,Good
HIS0248,Female,19,34,1.0,49,36,45,4,Yes,At Risk
HIS0249,Male,22,57,1.7,48,52,51,1,Yes,Poor
HIS0250,Female,18,30,1.9,44,36,44,4,Yes,At Risk
HIS0251,Female,21,67,2.8,59,68,75,1,Yes,Average
HIS0252,Male,22,63,2.1,51,57,59,3,Yes,At Risk
HIS0253,Female,17,65,3.9,56,73,70,2,No,Average
HIS0254,Male,19,88,5.8,92,99,91,0,No,Excellent
HIS0255,Female,20,100,5.3,98,87,83,0,No,Excellent
HIS0256,Female,17,90,4.7,73,84,88,1,No,Good
HIS0257,Female,20,85,7.5,88,90,87,0,Yes,Excellent
HIS0258,Male,20,87,5.3,75,90,86,1,No,Good
HIS0259,Male,19,43,1.1,36,36,38,2,Yes,At Risk
HIS0260,Female,21,66,3.4,63,70,66,2,No,Average
HIS0261,Male,22,53,1.7,54,59,45,3,No,Poor
HIS0262,Female,20,85,4.2,79,73,70,1,Yes,Good
HIS0263,Female,18,34,1.4,43,35,45,3,Yes,At Risk
HIS0264,Male,23,85,5.7,89,71,76,0,No,Excellent
HIS0265,Male,23,65,1.8,55,53,54,2,Yes,Poor
HIS0266,Female,21,84,4.1,77,87,74,0,No,Excellent
HIS0267,Male,20,33,1.4,38,47,41,2,No,At Risk
HIS0268,Male,23,92,5.9,86,99,88,0,Yes,Excellent
HIS0269,Male,23,81,5.6,88,81,87,1,Yes,Excellent
HIS0270,Female,19,81,5.6,88,81,82,1,Yes,Excellent
HIS0271,Male,22,38,1.9,46,33,34,5,Yes,At Risk
HIS0272,Female,22,82,4.3,80,77,89,1,No,Good
HIS0273,Female,20,62,1.9,60,42,52,3,No,At Risk
HIS0274,Female,18,78,2.0,57,69,70,2,No,Poor
HIS0275,Female,23,56,2.0,50,49,50,3,Yes,Poor
HIS0276,Female,17,61,2.1,75,69,50,0,Yes,Average
HIS0277,Female,19,56,3.0,44,60,49,1,No,Poor
HIS0278,Male,22,96,7.0,90,86,92,0,Yes,Excellent
HIS0279,Male,22,85,5.6,87,89,98,0,No,Excellent
HIS0280,Male,22,63,5.0,68,59,65,0,Yes,Good
HIS0281,Male,21,88,5.9,94,89,92,0,Yes,Excellent
HIS0282,Female,23,89,4.7,76,90,88,0,No,Excellent
HIS0283,Female,23,77,5.8,74,73,83,1,No,Excellent
HIS0284,Female,18,82,4.6,72,77,82,1,Yes,Excellent
HIS0285,Female,17,49,1.3,42,39,50,2,Yes,At Risk
HIS0286,Female,23,90,5.3,72,86,65,1,No,Good
HIS0287,Female,18,43,1.0,35,45,32,2,Yes,At Risk
HIS0288,Male,22,86,7.8,97,94,100,0,No,Excellent
HIS0289,Female,20,47,1.4,38,32,39,2,Yes,At Risk
HIS0290,Male,18,50,1.6,50,50,32,4,No,At Risk
HIS0291,Male,18,98,5.3,86,94,85,0,Yes,Excellent
HIS0292,Male,19,61,2.0,48,45,51,1,No,Poor
HIS0293,Female,17,58,2.0,48,58,60,1,No,Poor
HIS0294,Male,17,55,1.7,48,43,58,3,Yes,At Risk
HIS0295,Female,18,92,5.1,96,97,84,0,Yes,Excellent
HIS0296,Male,18,67,3.2,65,63,52,2,No,Poor
HIS0297,Female,17,76,5.9,72,84,74,1,No,Good
HIS0298,Female,23,66,2.9,64,74,57,1,No,Average
HIS0299,Male,23,82,4.3,83,70,72,1,Yes,Good
HIS0300,Female,17,59,1.2,56,47,53,2,Yes,At Risk
HIS0301,Male,22,92,7.7,98,96,94,0,Yes,Excellent
HIS0302,Female,23,52,2.2,41,53,44,1,No,Poor
HIS0303,Male,18,60,1.6,48,47,42,1,Yes,Poor
HIS0304,Female,20,90,6.3,95,98,83,0,Yes,Excellent
HIS0305,Male,22,63,2.3,64,74,51,0,No,Average
HIS0306,Female,21,86,4.8,71,79,73,0,Yes,Excellent
HIS0307,Male,18,37,0.6,33,34,33,2,Yes,At Risk
HIS0308,Male,17,61,2.4,60,42,58,3,No,At Risk
HIS0309,Male,21,89,5.6,72,80,68,0,No,Excellent
HIS0310,Female,19,62,2.0,52,53,45,2,Yes,Poor
HIS0311,Female,21,54,1.1,59,59,47,3,No,At Risk
HIS0312,Male,20,51,1.2,52,44,53,1,Yes,Poor
HIS0313,Female,18,75,3.6,70,66,68,2,No,Average
HIS0314,Male,18,95,6.8,85,93,81,0,No,Excellent
HIS0315,Male,18,92,7.0,93,86,87,0,No,Excellent
HIS0316,Male,23,40,1.7,41,48,30,4,Yes,At Risk
HIS0317,Female,17,59,1.4,41,42,41,1,Yes,At Risk
HIS0318,Male,18,79,2.6,59,65,72,0,No,Average
HIS0319,Female,21,52,1.9,33,46,41,2,No,At Risk
HIS0320,Female,18,95,5.9,89,90,93,0,No,Excellent
HIS0321,Male,18,35,1.1,39,34,35,2,No,At Risk
HIS0322,Female,22,40,1.9,49,37,50,2,No,At Risk
HIS0323,Male,19,92,6.0,95,90,100,0,No,Excellent
HIS0324,Female,20,82,5.4,81,78,90,0,Yes,Excellent
HIS0325,Female,23,55,2.8,55,52,51,3,No,At Risk
HIS0326,Male,19,50,1.6,37,35,44,2,Yes,At Risk
HIS0327,Male,19,63,2.2,60,67,55,2,Yes,Poor
HIS0328,Male,17,49,1.8,30,43,50,3,No,At Risk
HIS0329,Female,19,66,4.9,68,72,73,2,No,Good
HIS0330,Male,20,78,4.1,88,87,80,0,Yes,Excellent
HIS0331,Female,17,94,7.5,100,91,83,0,Yes,Excellent
HIS0332,Female,18,53,1.6,52,55,55,3,No,At Risk
HIS0333,Male,23,72,3.1,69,56,58,1,No,Average
HIS0334,Male,21,78,2.2,58,57,71,1,No,Average
HIS0335,Male,20,97,7.5,98,100,98,0,No,Excellent
HIS0336,Male,20,89,5.4,99,90,85,0,Yes,Excellent
HIS0337,Female,21,98,5.6,89,93,90,0,Yes,Excellent
HIS0338,Female,18,68,3.6,55,74,68,2,No,Average
HIS0339,Female,20,78,5.8,88,73,90,1,No,Excellent
HIS0340,Female,19,65,1.1,48,52,44,3,No,At Risk
HIS0341,Female,23,76,5.5,78,81,65,1,No,Good
HIS0342,Female,22,53,2.9,47,44,49,3,No,At Risk
HIS0343,Male,17,52,1.4,46,53,55,3,No,At Risk
HIS0344,Male,18,76,3.2,71,73,50,0,Yes,Average
HIS0345,Female,22,99,5.2,96,91,88,0,No,Excellent
HIS0346,Male,23,85,5.7,100,99,85,0,No,Excellent
HIS0347,Male,22,62,2.9,67,56,55,2,Yes,Poor
HIS0348,Male,21,83,5.3,86,70,89,0,No,Excellent
HIS0349,Female,18,92,5.8,94,93,93,0,No,Excellent
HIS0350,Female,21,59,2.4,59,52,58,1,Yes,Average
HIS0351,Female,23,49,0.9,33,45,32,4,No,At Risk
HIS0352,Female,22,68,4.0,75,64,56,0,Yes,Average
HIS0353,Female,22,64,4.2,75,70,59,1,No,Good
HIS0354,Male,19,91,6.0,92,100,91,0,Yes,Excellent
HIS0355,Male,22,100,5.4,93,90,90,0,Yes,Excellent
HIS0356,Male,20,73,4.4,65,66,58,2,No,Average
HIS0357,Male,18,87,6.4,91,88,92,0,No,Excellent
HIS0358,Female,19,85,4.8,88,84,69,1,Yes,Good
HIS0359,Male,20,85,5.3,70,84,73,0,Yes,Excellent
HIS0360,Male,21,89,6.8,98,97,93,0,No,Excellent
HIS0361,Male,18,86,5.9,80,86,71,0,Yes,Excellent
HIS0362,Male,19,69,2.4,67,71,68,1,Yes,Average
HIS0363,Female,19,74,4.2,74,71,60,1,Yes,Good
HIS0364,Male,21,80,5.9,82,70,72,0,Yes,Excellent
HIS0365,Male,22,35,0.7,50,31,42,4,Yes,At Risk
HIS0366,Female,20,85,5.1,88,98,94,0,Yes,Excellent
HIS0367,Female,21,81,5.4,90,70,74,1,Yes,Excellent
HIS0368,Male,20,52,0.7,33,46,49,2,No,At Risk
HIS0369,Male,21,81,5.6,86,76,76,1,No,Good
HIS0370,Male,17,56,2.4,55,50,47,1,Yes,Poor
HIS0371,Male,20,51,1.2,32,46,32,2,No,At Risk
HIS0372,Female,20,68,3.4,58,60,51,1,No,Average
HIS0373,Female,21,88,7.6,86,85,84,0,No,Excellent
HIS0374,Female,23,62,3.1,65,60,53,1,No,Average
HIS0375,Male,20,65,2.6,60,45,43,1,Yes,Poor
HIS0376,Male,23,45,1.7,44,35,49,5,No,At Risk
HIS0377,Female,17,90,5.8,73,83,79,0,Yes,Excellent
HIS0378,Male,20,54,1.6,48,37,40,2,No,At Risk
HIS0379,Female,23,80,3.2,72,74,51,0,Yes,Good
HIS0380,Male,21,55,1.1,55,50,47,2,No,At Risk
HIS0381,Female,20,62,2.6,42,54,54,3,No,At Risk
HIS0382,Male,23,63,4.9,75,55,53,1,No,Average
HIS0383,Female,19,94,7.7,91,99,90,0,Yes,Excellent
HIS0384,Male,17,54,1.4,45,41,44,2,Yes,At Risk
HIS0385,Male,20,71,4.5,64,72,66,1,Yes,Average
HIS0386,Female,23,88,4.2,89,76,71,0,No,Good
HIS0387,Male,20,85,4.2,83,71,85,0,No,Excellent
HIS0388,Male,20,86,6.7,98,100,96,0,Yes,Excellent
HIS0389,Female,19,49,1.8,46,42,43,3,No,At Risk
HIS0390,Male,18,54,1.3,59,56,49,3,No,At Risk
HIS0391,Female,21,84,5.4,74,90,70,1,Yes,Excellent
HIS0392,Female,18,51,1.6,47,39,43,2,Yes,At Risk
HIS0393,Male,23,86,5.6,90,94,88,0,Yes,Excellent
HIS0394,Female,22,31,1.0,44,33,49,3,No,At Risk
HIS0395,Female,23,97,6.2,95,86,80,0,Yes,Excellent
HIS0396,Male,22,86,5.5,87,89,71,0,No,Excellent
HIS0397,Female,18,90,7.9,88,97,81,0,No,Excellent
HIS0398,Male,23,83,4.0,84,74,66,0,No,Excellent
HIS0399,Male,18,51,1.0,48,47,41,2,No,At Risk
HIS0400,Male,18,32,1.7,35,43,47,5,Yes,At Risk
HIS0401,Female,20,70,3.1,61,74,66,1,Yes,Average
HIS0402,Female,17,82,5.9,80,82,90,0,No,Excellent
HIS0403,Male,19,54,1.1,46,44,45,2,No,At Risk
HIS0404,Male,23,32,1.9,35,47,47,2,Yes,At Risk
HIS0405,Female,22,53,1.4,53,60,42,3,Yes,At Risk
HIS0406,Male,19,61,2.3,56,60,75,1,Yes,Average
HIS0407,Male,21,62,1.9,52,53,50,1,No,Poor
HIS0408,Female,21,87,7.3,86,87,91,0,No,Excellent
HIS0409,Male,18,94,7.3,99,97,92,0,No,Excellent
HIS0410,Male,17,59,2.9,44,49,60,2,Yes,Poor
HIS0411,Female,22,85,6.7,97,87,89,0,No,Excellent
HIS0412,Male,23,34,0.7,37,49,38,3,Yes,At Risk
HIS0413,Female,19,44,1.5,32,39,32,4,Yes,At Risk
HIS0414,Female,20,64,4.0,62,58,59,2,Yes,Average
HIS0415,Female,18,60,2.2,49,58,44,3,No,At Risk
HIS0416,Female,20,95,5.7,92,98,88,0,Yes,Excellent
HIS0417,Male,23,64,1.7,49,55,57,1,Yes,Poor
HIS0418,Male,23,64,4.7,61,63,73,2,Yes,Average
HIS0419,Female,21,50,0.5,48,48,42,3,Yes,At Risk
HIS0420,Female,21,45,1.5,34,41,42,3,No,At Risk
HIS0421,Male,18,32,1.1,46,30,37,3,Yes,At Risk
HIS0422,Male,17,48,1.5,34,45,41,2,Yes,At Risk
HIS0423,Female,17,71,2.7,61,71,75,1,No,Average
HIS0424,Female,19,95,5.3,93,93,98,0,No,Excellent
HIS0425,Female,19,50,1.8,32,46,38,5,Yes,At Risk
HIS0426,Male,17,75,4.4,74,55,66,0,No,Good
HIS0427,Male,20,50,0.9,34,35,35,4,Yes,At Risk
HIS0428,Female,17,63,3.4,70,70,56,2,Yes,Average
HIS0429,Male,19,76,4.3,88,75,69,0,Yes,Good
